"Common Name","Scientific Name","Number of Records"
"broadleaf dock","Rumex obtusifolius","3"
"European elm bark beetle, smaller European elm bark beetle","Scolytus multistriatus","3"
"cup rosinweed","Silphium perfoliatum","3"
"English catchfly","Silene gallica","3"
"colonial bentgrass","Agrostis capillaris","3"
"bushkiller","Cayratia japonica","3"
"Italian arum","Arum italicum","3"
"common groundsel","Senecio vulgaris","3"
"American frogbit","Limnobium spongia","3"
"autumn olive","Elaeagnus umbellata var. parvifolia","3"
"itchgrass","Rottboellia cochinchinensis","3"
"creeping buttercup","Ranunculus repens","3"
"Japanese rose","Kerria japonica","3"
"Asian mazus","Mazus pumilus","3"
"common mallow","Malva neglecta","3"
"common teasel","Dipsacus fullonum","3"
"heartleaf drymary","Drymaria cordata","3"
"chocolate vine","Akebia quinata","3"
"Chevreul's sharp lawn-weed","Chevreulia acuminata","3"
"Harper's dodder","Cuscuta harperi","3"
"montbretia","Crocosmia x crocosmiiflora","3"
"California privet","Ligustrum ovalifolium","3"
"butterflybush","Buddleja davidii","3"
"Indian heliotrope","Heliotropium indicum","3"
"rough maidenhair fern","Adiantum hispidulum","3"
"hare's ear","Bupleurum rotundifolium","3"
"Britton's wild petunia","Ruellia simplex","3"
"great burdock","Arctium lappa","3"
"northern white cedar","Thuja occidentalis","3"
"Madagascar periwinkle","Catharanthus roseus","3"
"red fescue","Festuca rubra","3"
"spiny cocklebur","Xanthium spinosum","3"
"poverty brome","Bromus sterilis","3"
"white campion","Silene latifolia","3"
"summer snowflake","Leucojum aestivum","3"
"white horehound","Marrubium vulgare","3"
"weeping lantana","Lantana montevidensis","3"
"yellow rocket","Barbarea vulgaris","3"
"woodland bittercress","Cardamine flexuosa","3"
"roundleaf toothcup","Rotala rotundifolia","2"
"yellowbelly slider","Trachemys scripta scripta","2"
"brown anole","Anolis sagrei","2"
"sour paspalum","Paspalum conjugatum","2"
"smooth cordgrass","Spartina alterniflora","2"
"slender meadow foxtail","Alopecurus myosuroides","2"
"birch casebearer","Coleophora serratella","2"
"purple starthistle","Centaurea calcitrapa","2"
"smallflower galinsoga","Galinsoga parviflora","2"
"sparrow vetch","Vicia tetrasperma","2"
"balsamapple","Momordica charantia","2"
"scarlet spiderling","Boerhavia coccinea","2"
"miramar weed","Hygrophila polysperma","2"
"yellow fieldcress","Rorippa sylvestris","2"
"camphor scale","Pseudaonidia duplex","2"
"Scotch broom","Cytisus scoparius","2"
"lilyturf","Liriope spp.","2"
"prostrate knotweed","Polygonum aviculare","2"
"Canada thistle","Cirsium arvense","2"
"potato tuber moth","Phthorimaea operculella","2"
"natalgrass","Melinis repens","2"
"Siberian elm","Ulmus pumila","2"
"chameleon-plant","Houttuynia cordata","2"
"melon","Cucumis melo","2"
"hop clover","Trifolium aureum","2"
"silverleaf nightshade","Solanum elaeagnifolium","2"
"flathead catfish","Pylodictis olivaris","2"
"forest tent caterpillar","Malacosoma disstria","2"
"climbing fern","Lygodium spp.","2"
"fourleaf manyseed","Polycarpon tetraphyllum","2"
"flixweed","Descurainia sophia","2"
"imported willow leaf beetle","Plagiodera versicolora","2"
"bulbous canarygrass","Phalaris aquatica","2"
"Indian shot","Canna indica","2"
"Norway maple aphid","Periphyllus lyropictus","2"
"Italian plumeless thistle","Carduus pycnocephalus","2"
"crowndaisy","Glebionis coronaria","2"
"houndstongue","Cynoglossum officinale","2"
"onerow yellowcress","Nasturtium microphyllum","2"
"greenstem forsythia","Forsythia viridissima","2"
"Dekay's snake","Storeria dekayi","2"
"lawn burweed","Soliva sessilis","2"
"peach twig borer","Anarsia lineatella","2"
"leatherleaf arrowwood viburnum","Viburnum rhytidophyllum","2"
"common cornsalad","Valerianella locusta","2"
"loquat","Eriobotrya japonica","2"
"miniature beefsteakplant","Mosla dianthera","2"
"cherry silverberry","Elaeagnus multiflora","2"
"greenhouse frog","Eleutherodactylus planirostris","2"
"European vervain","Verbena officinalis","2"
"Malta starthistle","Centaurea melitensis","2"
"clammy goosefoot","Dysphania pumilio","2"
"turk's turbin","Clerodendrum indicum","2"
"fennel","Foeniculum vulgare","2"
"paragrass","Urochloa mutica","2"
"birdsfoot trefoil","Lotus corniculatus","2"
"turkeyberry","Solanum torvum","2"
"Amur privet","Ligustrum amurense","2"
"smallflower umbrella sedge","Cyperus difformis","2"
"bushy wallflower","Erysimum repandum","2"
"tree tobacco","Nicotiana glauca","2"
"annual wormwood","Artemisia annua","2"
"smooth brome","Bromus inermis","2"
"blue panicum","Panicum antidotale","2"
"spotted burclover","Medicago arabica","2"
"annual honesty","Lunaria annua","2"
"tall buttercup","Ranunculus acris","2"
"dwarf waterclover","Marsilea minuta","2"
"bigfoot waterclover","Marsilea macropoda","2"
"golden polypody","Phlebodium aureum","2"
"browntop","Microstegium","2"
"Cuming's lovegrass","Eragrostis cumingii","2"
"trumpet creeper","Campsis radicans","1"
"clubed begonia","Begonia cucullata","1"
"teasel","Dipsacus","1"
"firethorn","Pyracantha spp.","1"
"tumble mustard","Sisymbrium altissimum","1"
"Argentine black and white tegu","Salvator merianae","1"
"Venice mallow","Hibiscus trionum","1"
"field forget-me-not","Myosotis arvensis","1"
"winged yam","Dioscorea alata","1"
"blackeyed Susan vine","Thunbergia alata","1"
