"Common Name","Scientific Name","Number of Records"
"strawberry root weevil","Otiorhynchus ovatus","16"
"common grape hyacinth","Muscari botryoides","16"
"corn chamomile","Anthemis arvensis","16"
"common hawthorn","Crataegus monogyna","16"
"black stem borer, smaller alder bark beetle","Xylosandrus germanus","16"
"house sparrow","Passer domesticus","16"
"green sunfish","Lepomis cyanellus","15"
"woodland forget-me-not","Myosotis sylvatica","15"
"hemlock woolly adelgid","Adelges tsugae","15"
"flixweed","Descurainia sophia","15"
"blessed milkthistle","Silybum marianum","15"
"dog mustard","Erucastrum gallicum","15"
"Virginia groundcherry","Physalis virginiana var. virginiana","15"
"creeping bentgrass","Agrostis stolonifera","15"
"rapeseed","Brassica napus","15"
"field madder","Sherardia arvensis","14"
"European speedwell","Veronica beccabunga","14"
"spiny plumeless thistle","Carduus acanthoides","14"
"common comfrey","Symphytum officinale","14"
"balsam poplar","Populus balsamifera","14"
"beech bark disease","Neonectria faginata","14"
"canarygrass","Phalaris canariensis","14"
"curlycup gumweed","Grindelia squarrosa","14"
"clover dodder","Cuscuta epithymum","14"
"Scots pine","Pinus sylvestris","14"
"cressleaf groundsel","Packera glabella","14"
"pansy","Viola tricolor","14"
"Norway spruce","Picea abies","14"
"English violet","Viola odorata","13"
"scarlet firethorn","Pyracantha coccinea","13"
"colonial bentgrass","Agrostis capillaris","13"
"European columbine","Aquilegia vulgaris","13"
"thistle","Cirsium","13"
"English daisy","Bellis perennis","13"
"feverfew","Tanacetum parthenium","13"
"biennial wormwood","Artemisia biennis","13"
"wayfaringtree","Viburnum lantana","13"
"hairy bittercress","Cardamine hirsuta","13"
"ivyleaf speedwell","Veronica hederifolia","13"
"Black dog-strangling vine, black swallowwort","Vincetoxicum nigrum","13"
"viburnum leaf beetle","Pyrrhalta viburni","13"
"cowcockle","Vaccaria hispanica","12"
"mimosa","Albizia julibrissin","12"
"longstalk cranesbill","Geranium columbinum","12"
"sweet alyssum","Lobularia maritima","12"
"common carp","Cyprinus carpio","12"
"smooth crabgrass","Digitaria ischaemum","12"
"jointed goatgrass","Aegilops cylindrica","12"
"corn poppy","Papaver rhoeas","12"
"Seaside rose","Rosa rugosa","12"
"Persian speedwell","Veronica persica","12"
"piedmont bedstraw","Cruciata pedemontana","12"
"garden vetch","Vicia sativa ssp. nigra","12"
"puncturevine","Tribulus terrestris","12"
"corn spurry","Spergula arvensis","12"
"slender snakecotton","Froelichia gracilis","12"
"pear thrips","Taeniothrips inconsequens","11"
"non-native Malus spp.","Malus spp.","11"
"bark beetle","Hylastes opacus","11"
"smallflower sweetbrier","Rosa micrantha","11"
"imported willow leaf beetle","Plagiodera versicolora","11"
"Amur corktree","Phellodendron amurense","11"
"smallflower hairy willowherb","Epilobium parviflorum","11"
"wild oat","Avena fatua","11"
"goat willow","Salix caprea","11"
"Chinese catalpa","Catalpa ovata","11"
"southern crabgrass","Digitaria ciliaris","11"
"common caraway","Carum carvi","11"
"chocolate vine","Akebia quinata","11"
"castorbean","Ricinus communis","10"
"devil's-claw","Proboscidea louisianica","10"
"Dalmatian toadflax","Linaria dalmatica","10"
"forest tent caterpillar","Malacosoma disstria","10"
"basil downy mildew","Peronospora belbahrii","10"
"fennel","Foeniculum vulgare","10"
"bridalwreath spiraea","Spiraea prunifolia","10"
"sweetscented bedstraw","Galium odoratum","10"
"bristlegrass","Setaria spp.","10"
"Japanese snowball","Viburnum plicatum","10"
"yellow alyssum","Alyssum alyssoides","10"
"cutleaf geranium","Geranium dissectum","9"
"freshwater golden clam","Corbicula fluminea","9"
"pepper weevil","Anthonomus eugenii","9"
"garden catchfly","Silene armeria","9"
"Japanese chaff flower","Achyranthes japonica","9"
"climbing false buckwheat","Fallopia scandens","9"
"yellow floating heart","Nymphoides peltata","9"
